"Name","Length","DirectoryName","LastWriteTime"
"成本优化方案动态选择功能改进报告.md","18821","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:46"
"成本优化方案选择功能改进报告.md","9997","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化交互验证清单.md","18218","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化流程详细分析.md","24455","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化流程总结报告.md","11758","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化逻辑问题深度分析.md","16548","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化日期错误修复报告.md","11547","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化问题修复报告.md","9737","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化显示问题修复报告.md","8715","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化显示问题修复方案.md","10823","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化显示问题修复完成报告.md","11916","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化显示问题修复最终报告.md","16094","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化修复验证指南.md","6434","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"成本优化验证脚本.md","9215","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"代码清理与类型修复报告.md","8008","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"单柜优化分类策略设计.md","20319","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"单柜与批量优化方案评审报告.md","16355","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"单柜与批量优化逻辑复用分析.md","16993","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"单柜与批量优化实施成功报告.md","13092","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"单柜与批量优化实施进度报告.md","9993","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"单柜与批量优化实施完成报告.md","16367","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"第一阶段总结 - 精简计划.md","7927","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:25"
"第一阶段总结 - 精简进度报告 #1.md","7590","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:27"
"第一阶段总结 - 精简进度报告 #2.md","8152","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:29"
"第一阶段总结 - 整理完成报告.md","11549","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:31"
"第一阶段总结 - 整理完成报告（终稿）.md","9584","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:32"
"第一阶段总结 - 整理完成报告（最终版 v2）.md","9769","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:35"
"第一阶段总结 - 整理完成报告（最终版 v3）.md","9602","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:36"
"第一阶段总结 - 整理完成报告（最终版 v4）.md","9576","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:37"
"第一阶段总结 - 整理完成报告（最终版 v5）.md","10295","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:39"
"第一阶段总结 - 整理完成报告（最终版）.md","9398","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:34"
"第一阶段总结文档整理报告.md","6418","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:25"
"方案评审报告 - 智能排产成本优化.md","11704","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"飞驼原始数据双表方案评审报告.md","15749","D:\Gihub\logix\docs\_archive_temp","2026/3/26 17:32:09"
"后端数据修复报告 - 成本优化 breakdown 返回.md","14636","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"脚本快速参考卡片.md","11897","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:02"
"脚本使用指南.md","21220","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:34:55"
"脚本速查表.md","17262","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:34:56"
"紧急修复报告 - SchedulingVisual.vue 样式重复问题.md","7363","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"开发范式案例库.md","9225","D:\Gihub\logix\docs\_archive_temp","2026/3/29 11:04:11"
"开发范式持续改进机制.md","10743","D:\Gihub\logix\docs\_archive_temp","2026/3/29 11:04:11"
"开发范式培训计划.md","8954","D:\Gihub\logix\docs\_archive_temp","2026/3/29 11:04:11"
"快速指南.md","10319","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:34:50"
"类型通用化修复报告 - CostTrendChart.md","12712","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"批量成本优化策略对比.md","7465","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"深度分析 - 智能排产成本优化功能重构方案.md","53022","D:\Gihub\logix\docs\_archive_temp","2026/3/27 13:32:54"
"实施进度报告 #1 - OptimizationResultCard 组件完成.md","10716","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"实施进度报告 #2 - SchedulingVisual.vue 重构完成.md","13663","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"实施进度报告 #3 - SchedulingPreviewModal.vue 重构完成.md","12489","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"数据库迁移执行指南.md","34332","D:\Gihub\logix\docs\_archive_temp","2026/3/26 17:32:09"
"文档整理完成报告.md","17162","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:34:50"
"修复报告 - 优化功能仓库代码获取逻辑修复.md","10043","D:\Gihub\logix\docs\_archive_temp","2026/3/27 13:32:54"
"修复报告-仓库代码提取与列宽对齐优化.md","10243","D:\Gihub\logix\docs\_archive_temp","2026/3/27 11:20:43"
"修复报告-计划日期列缺少卸柜日期.md","6635","D:\Gihub\logix\docs\_archive_temp","2026/3/27 11:20:43"
"修复报告-优化功能缺少必要参数.md","8072","D:\Gihub\logix\docs\_archive_temp","2026/3/27 11:20:43"
"修复报告-Van 图标导入错误.md","5324","D:\Gihub\logix\docs\_archive_temp","2026/3/27 11:20:43"
"一屏全览布局优化报告.md","14299","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"优化报告-费用明细显示优化.md","7130","D:\Gihub\logix\docs\_archive_temp","2026/3/27 11:20:43"
"优化报告-列宽调整与仓库代码获取优化.md","9379","D:\Gihub\logix\docs\_archive_temp","2026/3/27 11:20:43"
"优化结果 UI 修复报告 - 数据与布局优化.md","12336","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"预警系统排查步骤.md","5181","D:\Gihub\logix\docs\_archive_temp","2026/3/13 11:37:37"
"预警系统诊断指南.md","9751","D:\Gihub\logix\docs\_archive_temp","2026/3/13 11:37:37"
"智能排产成本优化 - 实施清单.md","27369","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"智能排产优化功能实施报告.md","10451","D:\Gihub\logix\docs\_archive_temp","2026/3/27 11:20:43"
"智能排柜全流程说明.md","46155","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"智能批量成本优化方案设计.md","24315","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"重构分析 - 智能排产成本优化功能整合.md","22392","D:\Gihub\logix\docs\_archive_temp","2026/3/27 13:32:53"
"最终测试验证报告 - 智能排产成本优化功能.md","12815","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:44"
"ARCHIVE_MANIFEST.md","12344","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:34:49"
"DOCUMENT_INDEX.md","14908","D:\Gihub\logix\docs\_archive_temp","2026/3/28 8:44:51"
"ECharts 图表溢出问题修复报告.md","9819","D:\Gihub\logix\docs\_archive_temp","2026/3/27 19:25:45"
"LogiX项目文档整理完成报告.md","13087","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:35:23"
"README-文档使用说明.md","9612","D:\Gihub\logix\docs\_archive_temp","2026/3/24 17:34:48"
"shipments-gantt-switch-analysis.md","23846","D:\Gihub\logix\docs\_archive_temp","2026/3/13 16:40:52"
